lifecycle,key,contract_address,deployer_address,suggested_public_name_tag,category,contract_name,website,source_code_url,description
current,MAIN,0x6786491Ffc82d80E3ee627aFE81cc7168FF00De4,0x8fa5c9545b2eef1ca3c6533951c286e05928f27b,BiggiEyes: Originals VRF,NFT,BiggiEyesMain,https://biggieyes.com,https://polygonscan.com/address/0x6786491Ffc82d80E3ee627aFE81cc7168FF00De4#code,Official BIGGI Polygon mainnet contract. Source code is verified on PolygonScan; role and lifecycle are documented in the public deployment manifest.
current,MAIN2,0xe56cC0657A89daf10994204eD745985a61b0E36F,0x8fa5c9545b2eef1ca3c6533951c286e05928f27b,BiggiEyes: Originals Public,NFT,BiggiEyesMain2,https://biggieyes.com,https://polygonscan.com/address/0xe56cC0657A89daf10994204eD745985a61b0E36F#code,Official BIGGI Polygon mainnet contract. Source code is verified on PolygonScan; role and lifecycle are documented in the public deployment manifest.
current,TICKET_HUB,0x7b7e561173f498C8274b821090Da64E8ee653f6A,0x8fa5c9545b2eef1ca3c6533951c286e05928f27b,BiggiEyes: Ticket Hub,NFT,BiggiTicketHub,https://biggieyes.com,https://polygonscan.com/address/0x7b7e561173f498C8274b821090Da64E8ee653f6A#code,Official BIGGI Polygon mainnet contract. Source code is verified on PolygonScan; role and lifecycle are documented in the public deployment manifest.
current,VRF_ROUTER,0x1386d42C11dA3D6cd08C4B7141A7cE67A082da9F,0x8fa5c9545b2eef1ca3c6533951c286e05928f27b,BiggiEyes: VRF Router,Oracle,BiggiVRFRouter,https://biggieyes.com,https://polygonscan.com/address/0x1386d42C11dA3D6cd08C4B7141A7cE67A082da9F#code,Official BIGGI Polygon mainnet contract. Source code is verified on PolygonScan; role and lifecycle are documented in the public deployment manifest.
current,COMPUTE,0x0A09261631496B4aad9A5c2A82b62666249d773f,0x8fa5c9545b2eef1ca3c6533951c286e05928f27b,BiggiEyes: Compute,DeFi,BiggiCompute,https://biggieyes.com,https://polygonscan.com/address/0x0A09261631496B4aad9A5c2A82b62666249d773f#code,Official BIGGI Polygon mainnet contract. Source code is verified on PolygonScan; role and lifecycle are documented in the public deployment manifest.
current,REGISTRY,0x09f3728e8607e1B951A6396DcEE4EC134C5e4058,0x8fa5c9545b2eef1ca3c6533951c286e05928f27b,BiggiEyes: Series Registry,NFT,BiggiSeriesRegistry,https://biggieyes.com,https://polygonscan.com/address/0x09f3728e8607e1B951A6396DcEE4EC134C5e4058#code,Official BIGGI Polygon mainnet contract. Source code is verified on PolygonScan; role and lifecycle are documented in the public deployment manifest.
current,CHAPTER_CONTROLLER,0x9c084D89c0CB6c8424652d1fa82E83aD9c098288,0x8fa5c9545b2eef1ca3c6533951c286e05928f27b,BiggiEyes: Chapter Controller,NFT,BiggiChapterController,https://biggieyes.com,https://polygonscan.com/address/0x9c084D89c0CB6c8424652d1fa82E83aD9c098288#code,Official BIGGI Polygon mainnet contract. Source code is verified on PolygonScan; role and lifecycle are documented in the public deployment manifest.
current,COLLECTION_REWARDS,0xDfD29350EA1237D39Ff2F2453cE496eE2eba7F43,0x8fa5c9545b2eef1ca3c6533951c286e05928f27b,BiggiEyes: Collection Rewards,NFT,BiggiCollectionRewards,https://biggieyes.com,https://polygonscan.com/address/0xDfD29350EA1237D39Ff2F2453cE496eE2eba7F43#code,Official BIGGI Polygon mainnet contract. Source code is verified on PolygonScan; role and lifecycle are documented in the public deployment manifest.
current,NFT_REWARDS,0x939Df533b80943298E15ad4c8F188102954f34FF,0x8fa5c9545b2eef1ca3c6533951c286e05928f27b,BiggiEyes: NFT Rewards,NFT,BiggiNFTRewards,https://biggieyes.com,https://polygonscan.com/address/0x939Df533b80943298E15ad4c8F188102954f34FF#code,Official BIGGI Polygon mainnet contract. Source code is verified on PolygonScan; role and lifecycle are documented in the public deployment manifest.
current,MAIN_READER,0xde05be77024eABf37E4eA4fbBD58F161081be2f3,0x8fa5c9545b2eef1ca3c6533951c286e05928f27b,BiggiEyes: Main Reader,NFT,BiggiMainReader,https://biggieyes.com,https://polygonscan.com/address/0xde05be77024eABf37E4eA4fbBD58F161081be2f3#code,Official BIGGI Polygon mainnet contract. Source code is verified on PolygonScan; role and lifecycle are documented in the public deployment manifest.
current,MULTI_COLLECTION_READER,0xa65B4e88E37F085B9009295eA0AcF05e18a82884,0x8fa5c9545b2eef1ca3c6533951c286e05928f27b,BiggiEyes: Collections Reader,DeFi,BiggiMultiCollectionDistributorReaderV2,https://biggieyes.com,https://polygonscan.com/address/0xa65B4e88E37F085B9009295eA0AcF05e18a82884#code,Official BIGGI Polygon mainnet contract. Source code is verified on PolygonScan; role and lifecycle are documented in the public deployment manifest.
current,CHAPTER_SERIES_READER,0x421c8ed70fC893517481315aC62f4c95331e647f,0x8fa5c9545b2eef1ca3c6533951c286e05928f27b,BiggiEyes: Chapters Reader,NFT,BiggiChapterSeriesReader,https://biggieyes.com,https://polygonscan.com/address/0x421c8ed70fC893517481315aC62f4c95331e647f#code,Official BIGGI Polygon mainnet contract. Source code is verified on PolygonScan; role and lifecycle are documented in the public deployment manifest.
current,NFT_REWARDS_READER,0x430376b1f4F12ce2D641CC28f2968297aA2b0c12,0x8fa5c9545b2eef1ca3c6533951c286e05928f27b,BiggiEyes: NFT Rewards Reader,NFT,BiggiNftRewardsReader,https://biggieyes.com,https://polygonscan.com/address/0x430376b1f4F12ce2D641CC28f2968297aA2b0c12#code,Official BIGGI Polygon mainnet contract. Source code is verified on PolygonScan; role and lifecycle are documented in the public deployment manifest.
current,DISTRIBUTOR,0xCE892698159D8D799D5eF7f0dF0111487511fD22,0x8fa5c9545b2eef1ca3c6533951c286e05928f27b,BiggiEyes: Mint Distributor,DeFi,BiggiMultiCollectionDistributor,https://biggieyes.com,https://polygonscan.com/address/0xCE892698159D8D799D5eF7f0dF0111487511fD22#code,Official BIGGI Polygon mainnet contract. Source code is verified on PolygonScan; role and lifecycle are documented in the public deployment manifest.
current,BIGGI_TOKEN,0xD73152845Bc5a9b8253ea0100BB10388CC5c0EeD,0x8fa5c9545b2eef1ca3c6533951c286e05928f27b,BiggiEyes: BIGGI Token,DeFi,BiggiToken,https://biggieyes.com,https://polygonscan.com/address/0xD73152845Bc5a9b8253ea0100BB10388CC5c0EeD#code,Official BIGGI Polygon mainnet contract. Source code is verified on PolygonScan; role and lifecycle are documented in the public deployment manifest.
current,TOKEN_REWARDS,0xA455775BBe0BC863f644516147b95Ef5103b29FA,0x8fa5c9545b2eef1ca3c6533951c286e05928f27b,BiggiEyes: Token Rewards,DeFi,BiggiTokenRewards,https://biggieyes.com,https://polygonscan.com/address/0xA455775BBe0BC863f644516147b95Ef5103b29FA#code,Official BIGGI Polygon mainnet contract. Source code is verified on PolygonScan; role and lifecycle are documented in the public deployment manifest.
current,TOKEN_REWARDS_EMISSION_CONTROLLER,0xA7B71DFEBF89481b37d803dD0765E3612f29Ffb9,0x8fa5c9545b2eef1ca3c6533951c286e05928f27b,BiggiEyes: Rewards Emission,DeFi,BiggiTokenRewardsEmissionController,https://biggieyes.com,https://polygonscan.com/address/0xA7B71DFEBF89481b37d803dD0765E3612f29Ffb9#code,Official BIGGI Polygon mainnet contract. Source code is verified on PolygonScan; role and lifecycle are documented in the public deployment manifest.
